Suburb	PostCode	State	BSPname
SYDNEY	1040	NSW	SYDNEY BOXES
SYDNEY	1041	NSW	SYDNEY BOXES
SYDNEY	1042	NSW	SYDNEY BOXES
SYDNEY	1043	NSW	SYDNEY BOXES
SYDNEY	1044	NSW	SYDNEY BOXES
SYDNEY	1045	NSW	SYDNEY BOXES
SYDNEY	1046	NSW	SYDNEY BOXES
SYDNEY	1100	NSW	SYDNEY BOXES
SYDNEY	1101	NSW	SYDNEY BOXES
SYDNEY	1105	NSW	SYDNEY BOXES
SYDNEY	1106	NSW	SYDNEY BOXES
SYDNEY	1107	NSW	SYDNEY BOXES
SYDNEY	1108	NSW	SYDNEY BOXES
SYDNEY	1109	NSW	SYDNEY BOXES
SYDNEY	1110	NSW	SYDNEY BOXES
SYDNEY	1112	NSW	SYDNEY BOXES
SYDNEY	1113	NSW	SYDNEY BOXES
SYDNEY	1114	NSW	SYDNEY BOXES
SYDNEY	1115	NSW	SYDNEY BOXES
SYDNEY	1116	NSW	SYDNEY BOXES
SYDNEY	1117	NSW	SYDNEY BOXES
SYDNEY	1118	NSW	SYDNEY BOXES
SYDNEY	1119	NSW	SYDNEY BOXES
SYDNEY	1120	NSW	SYDNEY BOXES
SYDNEY	1121	NSW	SYDNEY BOXES
SYDNEY	1122	NSW	SYDNEY BOXES
SYDNEY	1123	NSW	SYDNEY BOXES
SYDNEY	1124	NSW	SYDNEY BOXES
SYDNEY	1125	NSW	SYDNEY BOXES
SYDNEY	1126	NSW	SYDNEY BOXES
SYDNEY	1127	NSW	SYDNEY BOXES
SYDNEY	1128	NSW	SYDNEY BOXES
SYDNEY	1129	NSW	SYDNEY BOXES
SYDNEY	1130	NSW	SYDNEY BOXES
SYDNEY	1131	NSW	SYDNEY BOXES
SYDNEY	1132	NSW	SYDNEY BOXES
SYDNEY	1133	NSW	SYDNEY BOXES
SYDNEY	1134	NSW	SYDNEY BOXES
SYDNEY	1135	NSW	SYDNEY BOXES
SYDNEY	1136	NSW	SYDNEY BOXES
SYDNEY	1137	NSW	SYDNEY BOXES
SYDNEY	1138	NSW	SYDNEY BOXES
SYDNEY	1139	NSW	SYDNEY BOXES
SYDNEY	1140	NSW	SYDNEY BOXES
SYDNEY	1141	NSW	SYDNEY BOXES
SYDNEY	1142	NSW	SYDNEY BOXES
SYDNEY	1143	NSW	SYDNEY BOXES
SYDNEY	1144	NSW	SYDNEY BOXES
SYDNEY	1145	NSW	SYDNEY BOXES
SYDNEY	1146	NSW	SYDNEY BOXES
SYDNEY	1147	NSW	SYDNEY BOXES
SYDNEY	1148	NSW	SYDNEY BOXES
SYDNEY	1149	NSW	SYDNEY BOXES
SYDNEY	1150	NSW	SYDNEY BOXES
SYDNEY	1151	NSW	SYDNEY BOXES
SYDNEY	1152	NSW	SYDNEY BOXES
SYDNEY	1153	NSW	SYDNEY BOXES
SYDNEY	1154	NSW	SYDNEY BOXES
SYDNEY	1155	NSW	SYDNEY BOXES
SYDNEY	1156	NSW	SYDNEY BOXES
SYDNEY	1157	NSW	SYDNEY BOXES
SYDNEY	1158	NSW	SYDNEY BOXES
SYDNEY	1159	NSW	SYDNEY BOXES
